method,noise_abs,experiment,k1,k2,relative_error,logdet_fim,trace_inv_fim,converged
FIM,0.0001,2,3000.0,3000.0,0.25,-21.233398790966113,294645.63842294225,false
FIM,0.0001,3,2137.5234469821635,3010.1662961837997,0.3728517496837591,-20.760675951517683,237760.2915612014,true
FIM,0.0001,4,2265.871767661775,3252.6291590969768,0.3338115065059448,-20.148013083641196,181112.90077460773,true
FIM,0.0001,5,2429.643427433135,3414.7116759412943,0.29625697182109695,-19.901141097495085,156097.86024925366,true
FIM,0.0001,6,2473.1748981131914,3521.140188381756,0.28287042146839975,-19.74708378761076,142662.35940621182,true
FIM,0.0001,7,2373.8115646384936,3369.9376239596213,0.3082950811015495,-19.53438921561351,131838.5106280828,true
GIM,0.0001,1,3000.0,3000.0,0.25,-22.804117771177346,1.0080112911009851e6,false
GIM,0.0001,2,3000.0,3000.0,0.25,-21.233398790966113,294645.63842294225,false
GIM,0.0001,3,2239.042660015684,3149.4114153904347,0.3457090401222872,-20.760675951517683,237760.2915612014,true
GIM,0.0001,4,2221.0862541605097,3174.4171876425416,0.3466861465719362,-20.148013083641196,181112.90077460773,true
GIM,0.0001,5,2395.7009204464716,3355.832006181466,0.30561045164333045,-19.901141097495085,156097.86024925366,true
GIM,0.0001,6,2399.0486549769216,3387.254018040912,0.3030317045880993,-19.68049764639272,143381.1886702257,true
GIM,0.0001,7,2349.577786272114,3282.643463403949,0.31812408566487155,-19.469967872862263,131640.75689249372,true
Random,0.001,1,3000.0,3000.0,0.25,-27.48453523509327,1.863737927506742e6,false
Random,0.001,2,3000.0,3000.0,0.25,-27.022278260889937,1.5436252349133804e6,false
Random,0.001,3,1135.6238345589666,870.5936332014758,0.7499548950125645,-26.889957606616782,1.4753049777229456e6,true
Random,0.001,4,3652.861556265748,4522.0133440994605,0.11082122858123519,-26.669138372517274,1.3768350518247255e6,true
Random,0.001,5,2518.929935402642,3058.5631001796437,0.31023539311856535,-26.615946843257206,1.3551219806580422e6,true
Random,0.001,6,3190.7744617374115,4126.479945869984,0.14478897882820385,-26.316032546473593,1.2534345698204595e6,true
Random,0.001,7,1725.7690252560158,1693.410347834613,0.5726168644358058,-26.184809361429487,1.219719016028042e6,true
FIM,0.001,1,3000.0,3000.0,0.25,-26.82533205416198,1.4467799614785365e6,false
FIM,0.001,2,3000.0,3000.0,0.25,-26.477703345958304,1.3151702503271634e6,false
FIM,0.001,3,2913.3110486432915,3643.9915051724934,0.20214744969561277,-26.2437497104575,1.2414202711079812e6,true
FIM,0.001,4,2184.371521187207,2949.766265355317,0.3707887568440156,-26.103713735193924,1.1901179000056277e6,true
FIM,0.001,5,3668.3467841225283,4817.0896573822,0.15588751591721012,-25.92995125102653,1.1542137071965924e6,true
FIM,0.001,6,3044.7982839308,4313.597307532582,0.17772464566651527,-25.826468730596975,1.126507631939679e6,true
FIM,0.001,7,1983.0882283443045,3146.7352945891353,0.3871366745149253,-25.73579165543333,1.1064105498450254e6,true
GIM,0.001,1,3000.0,3000.0,0.25,-26.82533205416198,1.4467799614785365e6,false
GIM,0.001,2,3000.0,3000.0,0.25,-26.477703345958304,1.3151702503271634e6,false
GIM,0.001,3,2224.296156870873,3126.931175329732,0.34979339040687085,-26.2437497104575,1.2414202711079812e6,true
GIM,0.001,4,3976.9042673395543,4829.21095244539,0.1466420191020587,-26.103713735193924,1.1901179000056277e6,true
GIM,0.001,5,1813.8562878302205,2906.1789158886295,0.43213383684578976,-25.92995125102653,1.1542137071965924e6,true
GIM,0.001,6,3536.0517125337096,4648.793114888193,0.14099872776124026,-25.826468730596975,1.126507631939679e6,true
GIM,0.001,7,2328.2701310527923,3382.140602226551,0.3150610551021826,-25.73579165543333,1.1064105498450254e6,true
