method,noise_percent,experiment,k1,k2,relative_error,logdet_fim,trace_inv_fim
GIM,10.0,1,5.0782216153826004e33,1.6881926073074015e37,2.984331236459597e33,-27.63100341228362,1.9999822965117767e6
GIM,10.0,2,1.0156443230765201e34,3.376385214614803e37,5.968662472919194e33,-27.630996121891318,1.9999750062721698e6
GIM,10.0,3,1.5234664846147802e34,5.064577821922205e37,8.952993709378792e33,-27.6309929276703,1.9999718121349977e6
GIM,10.0,4,2.0312886461530402e34,6.752770429229606e37,1.1937324945838389e34,-27.630991091253005,1.9999699757707443e6
GIM,10.0,5,2.5391108076913006e34,8.440963036537009e37,1.4921656182297989e34,-27.630989900741252,1.9999687852952483e6
GIM,10.0,6,3.0469329692295604e34,1.012915564384441e38,1.7905987418757584e34,-27.630988721880847,1.9999676064712987e6
Random,20.0,1,2729.331734444942,2556.7067766608375,0.33993074522731137,-27.63102111360282,1.9999999976742738e6
Random,20.0,2,2032.7825579124612,1957.770941724376,0.501268515584424,-27.631020654485347,1.9999995385569024e6
Random,20.0,3,1676.477967117537,1492.024210874318,0.6043771896581545,-27.631020356848524,1.9999992409202615e6
Random,20.0,4,1234.3840667032125,966.3411704129937,0.7256832423834335,-27.631019558273223,1.999998442345879e6
Random,20.0,5,764.1907010701,493.1154468553069,0.8435175807319842,-27.63101947055516,1.9999983546279552e6
Random,20.0,6,338.28208833465715,1.3454728966853515e-11,0.9586477791760037,-27.63101764792349,1.9999965320008602e6
FIM,20.0,1,3.515614047808907e7,11848.556511865921,6214.079381209526,-27.63101668998793,1.9999955740691782e6
FIM,20.0,2,7.030919662024102e7,20704.073578496897,12428.320671500664,-27.631014867361227,1.9999937514520169e6
FIM,20.0,3,1.0546228961524354e8,29700.233111168174,18642.568483408613,-27.63101406879025,1.9999929528862815e6
FIM,20.0,4,1.406153021399926e8,38446.05788439269,24856.80205951883,-27.631013609675982,1.9999924937753277e6
FIM,20.0,5,1.7576843110951746e8,47355.449264116876,31071.056227494148,-27.631013312041247,1.9999921961428574e6
FIM,20.0,6,2.109214907268796e8,56256.70199209127,37285.29813532668,-27.631013017319308,1.9999919014231986e6
GIM,20.0,1,2509.182122030953,2538.778428037108,0.36902347603344615,-27.63101668998793,1.9999955740691782e6
GIM,20.0,2,2036.1703988254426,2013.9369359506832,0.4937444049312857,-27.631014867361227,1.9999937514520169e6
GIM,20.0,3,1541.1014414509216,1506.2634747767665,0.6190947014206303,-27.63101406879025,1.9999929528862815e6
GIM,20.0,4,1024.601833503627,1014.9409139353742,0.7450581352419536,-27.631013609675982,1.9999924937753277e6
GIM,20.0,5,558.5829586998269,508.88002602324343,0.86658939824555,-27.631013312041247,1.9999921961428574e6
GIM,20.0,6,72.93090482786519,1.8695316274686092e-10,0.9909255723541784,-27.631013017319308,1.9999919014231986e6
